timestamp,open,high,low,close,volume
2019-05-03,1177.4100,1191.4000,1173.5500,1189.5500,2079376
2019-05-02,1172.6000,1179.3800,1158.3300,1166.5100,2254890
2019-05-01,1197.5000,1199.2500,1171.6700,1173.3200,3717018
2019-04-30,1190.6300,1200.9800,1183.0000,1198.9600,6658855
2019-04-29,1280.5100,1296.9700,1271.7100,1296.2000,3618362
2019-04-26,1273.3800,1278.9100,1265.0000,1277.4200,1361419
2019-04-25,1270.3000,1272.8000,1258.0000,1267.3400,1567161
2019-04-24,1270.5900,1274.0000,1259.8100,1260.0500,1169797
2019-04-23,1256.6400,1274.4300,1251.9700,1270.5900,1593449
2019-04-22,1236.6700,1254.3400,1233.3700,1253.7600,954419
2019-04-18,1245.0000,1245.9400,1239.4100,1241.4700,1237788
2019-04-17,1237.0000,1245.1000,1232.9000,1240.1400,1518286
2019-04-16,1230.0000,1235.9800,1225.0400,1231.9100,1131099
2019-04-15,1224.0900,1229.3000,1214.5600,1226.5300,1189974
2019-04-12,1215.6200,1223.0500,1213.2900,1222.7300,1215610
2019-04-11,1208.9000,1212.7400,1204.5400,1209.5900,849947
2019-04-10,1205.0900,1208.9400,1200.6600,1206.4500,775456
2019-04-09,1201.8900,1207.1500,1198.3800,1202.6900,983840
2019-04-08,1211.1100,1213.9500,1204.6900,1208.2800,1087588
2019-04-05,1219.3000,1220.3900,1210.0300,1211.4500,1001044
2019-04-04,1211.2900,1220.5500,1209.0400,1219.4500,1051089
2019-04-03,1212.7000,1220.6000,1205.0800,1210.8100,1109614
2019-04-02,1200.0500,1205.8100,1191.2400,1205.5400,914413
2019-04-01,1187.5400,1200.2000,1186.3600,1198.9800,1385595
2019-03-29,1180.1800,1183.9700,1166.3800,1176.8900,1544615
2019-03-28,1175.5000,1177.2500,1163.4300,1172.2700,1120122
2019-03-27,1191.9200,1191.9200,1164.2300,1178.0100,1471402
2019-03-26,1205.1900,1207.6500,1181.7600,1189.8400,1537606
2019-03-25,1199.5600,1209.4400,1190.0000,1197.3800,1378849
2019-03-22,1228.8500,1233.6300,1206.0000,1207.6500,1721133
2019-03-21,1220.0000,1236.4400,1216.5800,1236.1300,1407480
2019-03-20,1201.4000,1229.9900,1199.5900,1226.4300,2075442
2019-03-19,1191.7200,1203.4000,1189.4600,1202.4600,1489407
2019-03-18,1189.6900,1194.9500,1181.4800,1188.5500,1222203
2019-03-15,1198.0000,1201.7200,1187.0100,1190.3000,2593338
2019-03-14,1199.0200,1204.7000,1191.2300,1192.5300,1365072
2019-03-13,1205.9300,1207.1200,1197.9100,1199.0600,1294354
2019-03-12,1182.3000,1205.7100,1182.3000,1197.2500,2110979
2019-03-11,1152.0000,1179.9100,1151.5700,1179.2600,1501633
2019-03-08,1133.9000,1153.4500,1130.2000,1149.9700,1184732
2019-03-07,1160.5000,1163.5800,1141.7100,1150.8500,1504328
2019-03-06,1171.7600,1174.7400,1163.0500,1164.9400,1180052
2019-03-05,1156.0000,1176.4900,1153.0200,1169.1900,2004723
2019-03-04,1154.5600,1165.5200,1138.2500,1153.4200,1774467
2019-03-01,1131.0000,1150.0000,1131.0000,1148.5200,1704258
2019-02-28,1119.0000,1133.9900,1118.4100,1126.5500,1371355
2019-02-27,1114.0100,1125.7300,1108.5600,1122.8900,1104881
2019-02-26,1114.3700,1126.4300,1106.7000,1122.0100,1751261
2019-02-25,1121.9300,1125.4000,1114.1100,1117.3300,1310362
2019-02-22,1109.7000,1117.2500,1100.5000,1116.5600,1471783
2019-02-21,1118.7800,1119.1500,1097.9800,1104.2100,1663980
2019-02-20,1128.8800,1130.9300,1111.7500,1120.5900,1204533
2019-02-19,1116.6400,1129.6400,1116.6400,1126.5100,1099259
2019-02-15,1139.3000,1139.3000,1116.7200,1119.6300,1391348
2019-02-14,1125.0000,1136.1300,1117.0900,1129.2000,1055297
2019-02-13,1133.0400,1142.8500,1126.0000,1128.6300,1402087
2019-02-12,1111.0100,1132.8600,1111.0100,1127.5800,1751771
2019-02-11,1103.7500,1113.4300,1100.0000,1102.1200,924881
2019-02-08,1094.8800,1105.1000,1094.2400,1102.3800,1088327
2019-02-07,1111.8200,1111.9900,1093.5900,1105.9100,1914877
2019-02-06,1149.2700,1154.0000,1118.3600,1122.8900,2412820
2019-02-05,1129.6300,1152.7700,1123.6000,1151.8700,4114790
2019-02-04,1119.0100,1142.3400,1117.5100,1141.4200,3920591
